"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE008","2018-01-11 14:00:00",12.42,12.42,12.42,57.36,57.36,57.36,0.583,0
"BALE008","2018-01-11 15:00:00",12.21,12.21,12.21,56.96,56.96,56.96,0.414,0
"BALE008","2018-01-11 16:00:00",11.75,11.75,11.75,60.64,60.64,60.64,0.26,0
"BALE008","2018-01-11 17:00:00",11.53,11.53,11.53,61.38,61.38,61.38,0.211,0
"BALE008","2018-01-11 18:00:00",10.16,10.16,10.16,68.51,68.51,68.51,0.045,0
"BALE008","2018-01-11 19:00:00",8.35,8.35,8.35,75.72,75.72,75.72,0.003,0
"BALE008","2018-01-11 20:00:00",7.33,7.33,7.33,86.6,86.6,86.6,0,0
"BALE008","2018-01-11 21:00:00",5.15,5.15,5.15,91.4,91.4,91.4,0,0
"BALE008","2018-01-11 22:00:00",4.95,4.95,4.95,92.3,92.3,92.3,0,0
"BALE008","2018-01-11 23:00:00",4.65,4.65,4.65,94.2,94.2,94.2,0,0
"BALE008","2018-01-12 00:00:00",4.08,4.08,4.08,98.2,98.2,98.2,0,0
"BALE008","2018-01-12 01:00:00",3.21,3.21,3.21,99.4,99.4,99.4,0,0
"BALE008","2018-01-12 02:00:00",2.78,2.78,2.78,99.2,99.2,99.2,0,0
"BALE008","2018-01-12 03:00:00",4.13,4.13,4.13,94,94,94,0,0
"BALE008","2018-01-12 04:00:00",2.61,2.61,2.61,98.9,98.9,98.9,0,0
"BALE008","2018-01-12 05:00:00",2.43,2.43,2.43,97.7,97.7,97.7,0,0
"BALE008","2018-01-12 06:00:00",1.68,1.68,1.68,96.6,96.6,96.6,0,0
"BALE008","2018-01-12 07:00:00",1.2,1.2,1.2,98.1,98.1,98.1,0.004,0
"BALE008","2018-01-12 08:00:00",3.23,3.23,3.23,87.4,87.4,87.4,0.116,0
"BALE008","2018-01-12 09:00:00",9.04,9.04,9.04,67.06,67.06,67.06,0.372,0
"BALE008","2018-01-12 10:00:00",10.17,10.17,10.17,64.87,64.87,64.87,0.403,0
"BALE008","2018-01-12 11:00:00",10.27,10.27,10.27,65.04,65.04,65.04,0.273,0
"BALE008","2018-01-12 12:00:00",11.05,11.05,11.05,63.21,63.21,63.21,0.372,0
"BALE008","2018-01-12 13:00:00",12.28,12.28,12.28,52.88,52.88,52.88,0.671,0
"BALE008","2018-01-12 14:00:00",13.09,13.09,13.09,47.32,47.32,47.32,0.848,0
"BALE008","2018-01-12 15:00:00",13.15,13.15,13.15,43.99,43.99,43.99,0.728,0
"BALE008","2018-01-12 16:00:00",13.26,13.26,13.26,46.86,46.86,46.86,0.638,0
"BALE008","2018-01-12 17:00:00",12.71,12.71,12.71,47.82,47.82,47.82,0.395,0
"BALE008","2018-01-12 18:00:00",10.92,10.92,10.92,63.15,63.15,63.15,0.152,0
"BALE008","2018-01-12 19:00:00",7.69,7.69,7.69,74.01,74.01,74.01,0.005,0
"BALE008","2018-01-12 20:00:00",5.56,5.56,5.56,80,80,80,0,0
"BALE008","2018-01-12 21:00:00",4.98,4.98,4.98,80,80,80,0,0
